id,name,kind,priority,discovery_url,submission_url,route,next_step,status,checked_at,submission_route_verified
google-cloud-marketplace,Google Cloud Marketplace,cloud-marketplace,P3,https://cloud.google.com/marketplace/docs/partners/mcp-server-overview,,Research current AI/MCP partner eligibility,Attempted MCP-specific overview returned 404; do not advertise eligibility or prepare a paid listing without a verified product route.,not_submitted,2026-09-16,False
mcp-directory,MCP-Directory.com,retired-or-unverified,HOLD,https://www.mcp-directory.com,,Domain redirected away from the original directory,Exclude from submission queue until current ownership and directory operation are verified.,not_submitted,2026-09-16,False
mcpserver-directory,MCPServer.directory,retired-or-unverified,HOLD,https://mcpserver.directory,,Automated probe returned HTTP 402,Could be infrastructure or access policy; do not infer a submission fee or working marketplace.,not_submitted,2026-09-16,False
mcp-hub,MCPHub.io,retired-or-unverified,HOLD,https://mcphub.io,,Automated probe returned HTTP 402,No verified current listing workflow.,not_submitted,2026-09-16,False
mcp-run,mcp.run,changed-product,HOLD,https://www.mcp.run,,Redirected to TurboMCP,Re-evaluate the current product before treating historical marketplace references as active.,not_submitted,2026-09-16,False
mcp-cat,MCPCat,changed-product,HOLD,https://mcpcat.io,,Redirected to AgentCat analytics and observability,"Useful tooling prospect, not a verified server listing marketplace.",not_submitted,2026-09-16,False
bolt-directory,BoltAI MCP directory,changed-product,HOLD,https://mcp.boltai.com,,Redirected to the BoltAI product homepage,Historical directory is not a verified current submission channel.,not_submitted,2026-09-16,False
mcpserverslist,MCPServersList.com,retired-or-unverified,HOLD,https://mcpserverslist.com,,Redirected to a ww38 parked-domain address,Exclude from submission queue.,not_submitted,2026-09-16,False
findmcp,FindMCPServer.com,retired-or-unverified,HOLD,https://findmcpserver.com,,Host could not be reached during the research pass,Retry manually if independent evidence suggests it is active.,not_submitted,2026-09-16,False
mcp-next,MCPNext,retired-or-unverified,HOLD,https://mcpnext.com,,Host could not be reached during the research pass,Exclude until a working directory and contribution route are verified.,not_submitted,2026-09-16,False
